id,Temperature,C ,N ,O ,CO2,Growth Rate,,,,,,,,,,,,,,,
Pseudomonas fluorescens,15,nan,nan,nan,27.1,0.13,,,,,,,,,,,,,,,
Pseudomonas fluorescens,15,nan,nan,nan,33.6,0.088,,,,,,,,,,,,,,,
Pseudomonas fluorescens,15,nan,nan,nan,46.3,0.088,,,,,,,,,,,,,,,
Listeria monocytogenes,15,nan,nan,nan,0.5,0.136,,,,,,,,,,,,,,,
Listeria monocytogenes,15,nan,nan,nan,48.9,0.1,,,,,,,,,,,,,,,
Enterococcus faecalis,15,nan,nan,nan,0.5,0.055,,,,,,,,,,,,,,,
Enterococcus faecalis,15,nan,nan,nan,51,0.076,,,,,,,,,,,,,,,
"Bacillus cereus	",15,nan,nan,nan,0.5,0.128,,,,,,,,,,,,,,,
E coli,nan,5,nan,nan,nan,0.77,,,,,,,,,,,,,,,
E coli,nan,10,nan,nan,nan,0.57,,,,,,,,,,,,,,,
E coli,nan,5,nan,nan,nan,0.32,,,,,,,,,,,,,,,
E coli,nan,5,nan,nan,nan,0.32,,,,,,,,,,,,,,,
E coli,nan,5.4,nan,nan,nan,0.4,,,,,,,,,,,,,,,
E coli,nan,5.4,nan,nan,nan,0.3,,,,,,,,,,,,,,,
E coli,nan,5,nan,nan,nan,0.22,,,,,,,,,,,,,,,
E coli,20,13,nan,nan,nan,0.35,,,,,,,,,,,,,,,
E coli,25,13,nan,nan,nan,0.43,,,,,,,,,,,,,,,
E coli,30,13,nan,nan,nan,0.6,,,,,,,,,,,,,,,
E coli,35,13,nan,nan,nan,0.8,,,,,,,,,,,,,,,
E coli,40,13,nan,nan,nan,0.7,,,,,,,,,,,,,,,
E coli,43,13,nan,nan,nan,0.5,,,,,,,,,,,,,,,
E coli,25,55.6,7.5,nan,nan,0.205,,,,,,,,,,,,,,,
E coli,25,55.6,7.5,nan,nan,0.341,,,,,,,,,,,,,,,
E coli,25,55.6,7.5,nan,nan,0.688,,,,,,,,,,,,,,,
E coli,37,5.1,nan,4.34,nan,0.09,,,,,,,,,,,,,,,
E coli,37,5.1,nan,8.02,nan,0.19,,,,,,,,,,,,,,,
E coli,37,5.1,nan,16.3,nan,0.38,,,,,,,,,,,,,,,
E coli,37,5.1,nan,21,nan,0.51,,,,,,,,,,,,,,,
E coli,37,5.1,nan,40.4,nan,0.97,,,,,,,,,,,,,,,
E coli,37,11.8,nan,19.8,19.8,0.89,,,,,,,,,,,,,,,
E coli,37,9.5,nan,17,18,0.69,,,,,,,,,,,,,,,
E coli,37,12,nan,6.8,7.1,0.38,,,,,,,,,,,,,,,
E coli,37,16.6,nan,21.2,14.3,0.87,,,,,,,,,,,,,,,
E coli,6,nan,nan,nan,nan,0.002,,,,,,,,,,,,,,,
E coli,12,nan,nan,nan,nan,0.01,,,,,,,,,,,,,,,
E coli,15,nan,nan,nan,nan,0.08,,,,,,,,,,,,,,,
E coli,18,nan,nan,nan,nan,0.12,,,,,,,,,,,,,,,
E coli,20,nan,nan,nan,nan,0.012,,,,,,,,,,,,,,,
E coli,24,nan,nan,nan,nan,0.13,,,,,,,,,,,,,,,
E coli,28,nan,nan,nan,nan,0.15,,,,,,,,,,,,,,,
E coli,30,nan,nan,nan,nan,0.5,,,,,,,,,,,,,,,
E coli,36,nan,nan,nan,nan,1,,,,,,,,,,,,,,,
E coli,42,nan,nan,nan,nan,1,,,,,,,,,,,,,,,
E coli,48,nan,nan,nan,nan,0.9,,,,,,,,,,,,,,,
E coli,17.4,,,,,0.185,,,,,,,,,,,,,,,
E coli,28.4,,,,,0.54,,,,,,,,,,,,,,,
E coli,35,,,,,0.75,,,,,,,,,,,,,,,
E coli,37,,,,,0.76,,,,,,,,,,,,,,,
E coli,40,,,,,0.74,,,,,,,,,,,,,,,
